iter	Logloss
0	0.621341462
1	0.5562097718
2	0.5143023335
3	0.4905662291
4	0.4619843119
5	0.4474084808
6	0.4322753335
7	0.419746198
8	0.413604147
9	0.4067301385
10	0.3917750966
11	0.3878443111
12	0.3748691798
13	0.371286034
14	0.3683916318
15	0.3644073826
16	0.3542825466
17	0.3516041425
18	0.3464066543
19	0.3447280982
20	0.3379264104
21	0.3366463507
22	0.3355252181
23	0.3332974884
24	0.3292905965
25	0.3284844967
26	0.3246936028
27	0.3235401491
28	0.3204053563
29	0.3196334705
30	0.318815228
31	0.3178890579
32	0.3169808519
33	0.3160537889
34	0.3153451883
35	0.3148937638
36	0.3142229128
37	0.3134325986
38	0.312893675
39	0.3120934323
40	0.3116862932
41	0.3111028699
42	0.3104898041
43	0.3101956639
44	0.3092970293
45	0.3083816091
46	0.3079395417
47	0.3070644068
48	0.3067735524
49	0.3062067004
50	0.3058467751
51	0.3053781008
52	0.304982283
53	0.30453593
54	0.3042783252
55	0.3038978644
56	0.3034084403
57	0.3024348777
58	0.3020857381
59	0.3011949248
60	0.3007899999
61	0.3006126801
62	0.300370468
63	0.3000670422
64	0.2996960099
65	0.299360388
66	0.2988712317
67	0.2986559837
68	0.2982020236
69	0.2978913836
70	0.2975339583
71	0.2972984604
72	0.2970200344
73	0.2966966445
74	0.2959318479
75	0.2954297989
76	0.2950243205
77	0.2948445543
78	0.2946044136
79	0.2941338822
80	0.2938045281
81	0.2935472447
82	0.2931729981
83	0.2928372155
84	0.2922046498
85	0.2917084401
86	0.2913784788
87	0.2909880538
88	0.2900053128
89	0.2892481054
90	0.2880213131
91	0.2877286015
92	0.2856027995
93	0.2854415152
94	0.2853099629
95	0.2849511447
96	0.2844933989
97	0.2839537253
98	0.2835850144
99	0.2831788752
100	0.2818417803
101	0.2816394607
102	0.2813265529
103	0.2810122522
104	0.2804226326
105	0.2797570672
106	0.2795822295
107	0.2792033044
108	0.2788498255
109	0.2783805262
110	0.278082029
111	0.2774325885
112	0.2770034674
113	0.2766767382
114	0.2764053122
115	0.2758926204
116	0.2755742126
117	0.2752928759
118	0.2749696646
119	0.2744987046
120	0.2741557791
121	0.2738047466
122	0.2736393196
123	0.2734062503
124	0.2730514142
125	0.272544651
126	0.272348635
127	0.2718327647
128	0.2712617342
129	0.2709588798
130	0.270653954
131	0.2704144919
132	0.2700860306
133	0.2696762487
134	0.2694413937
135	0.2691872889
136	0.2686314725
137	0.2684166709
138	0.2674313228
139	0.2668252033
140	0.2661854234
141	0.2659103188
142	0.265752731
143	0.2655168224
144	0.2648478107
145	0.2646830443
146	0.2644521179
147	0.2642826908
148	0.2636931069
149	0.2635320191
150	0.2632974141
151	0.2629383817
152	0.2626662949
153	0.2621381033
154	0.2615827512
155	0.2612892361
156	0.2610213992
157	0.2606726167
158	0.2603962621
159	0.2601403001
160	0.2598414636
161	0.2596347869
162	0.2595011988
163	0.2591476664
164	0.2589618645
165	0.2587694555
166	0.2585272792
167	0.2583419059
168	0.25805048
169	0.2576467337
170	0.25749786
171	0.2572974154
172	0.2569552936
173	0.2567015102
174	0.256440084
175	0.2562939246
176	0.2560533018
177	0.2557821971
178	0.2554227897
179	0.2552221308
180	0.2549740081
181	0.254827688
182	0.2544414594
183	0.254187926
184	0.2539965706
185	0.253623324
186	0.2534350222
187	0.2530875968
188	0.2529214733
189	0.2525622623
190	0.2522413902
191	0.2519622321
192	0.2518742329
193	0.2517484126
194	0.2515094326
195	0.2513006667
196	0.2510335263
197	0.2507569752
198	0.2504754778
199	0.2502213194
200	0.2499442505
201	0.2496749315
202	0.2494506122
203	0.249088294
204	0.248873046
205	0.2487235652
206	0.2485230671
207	0.2483584079
208	0.2481185172
209	0.2479453224
210	0.2477770203
211	0.2476709856
212	0.2474728802
213	0.2472755249
214	0.2469323138
215	0.2467407441
216	0.2464455325
217	0.2461886956
218	0.2459843581
219	0.2456941287
220	0.245486202
221	0.2448638327
222	0.24468462
223	0.2444901397
224	0.2441428928
225	0.2440245368
226	0.2434565598
227	0.2433771498
228	0.2432593116
229	0.2431467412
230	0.243030278
231	0.2426897633
232	0.2424725867
233	0.2422632136
234	0.2419413237
235	0.2418162534
236	0.2416331836
237	0.2414071857
238	0.2412201874
239	0.2410531532
240	0.2407414775
241	0.2405712648
242	0.2404898191
243	0.2402877852
244	0.2399146458
245	0.2397273796
246	0.2393203655
247	0.2391378493
248	0.2387541028
249	0.2383099819
250	0.2380970374
251	0.2379854134
252	0.2377868438
253	0.2376682199
254	0.2374522933
255	0.2372235097
256	0.2371316534
257	0.2368736736
258	0.2366518006
259	0.2364004458
260	0.2362412508
261	0.2361063592
262	0.2357536481
263	0.2355633641
264	0.2353688123
265	0.235198046
266	0.2349900301
267	0.2347106755
268	0.2345911409
269	0.2343845713
270	0.2340694671
271	0.2339730751
272	0.2338194337
273	0.233528972
274	0.2333141704
275	0.2331674932
276	0.2329819413
277	0.2327573541
278	0.2326001591
279	0.2324011966
280	0.2322704835
281	0.2321805379
282	0.231937808
283	0.2317731131
284	0.2315187047
285	0.2312852782
286	0.2309258708
287	0.2308363538
288	0.2307333547
289	0.2304497859
290	0.2302773946
291	0.230032254
292	0.2298813089
293	0.2297025249
294	0.2293109034
295	0.228971978
296	0.2286946055
297	0.2284984466
298	0.2282889485
299	0.2280213081
300	0.227824917
301	0.227559848
302	0.2273062075
303	0.2271263163
304	0.2269894604
305	0.2268248726
306	0.2267050701
307	0.2265839998
308	0.2264144478
309	0.2262706812
310	0.2261614322
311	0.2260067551
312	0.2258294888
313	0.2256949365
314	0.2256036159
315	0.2254777956
316	0.2253790108
317	0.2251635128
318	0.2250000679
319	0.2248486228
320	0.2245894109
321	0.2244702691
322	0.2241920217
323	0.2240340767
324	0.2238404892
325	0.2236479374
326	0.2234811889
327	0.223372297
328	0.2231924237
329	0.2230509785
330	0.2228870693
331	0.2227154995
332	0.222488823
333	0.222324753
334	0.2221792722
335	0.2219781491
336	0.2217665796
337	0.2216519913
338	0.221372226
339	0.2211375853
340	0.22094098
341	0.2207908028
342	0.2206663753
343	0.2205744833
344	0.2203199499
345	0.2200997734
346	0.2198249009
347	0.2196602952
348	0.2194839576
349	0.219419351
350	0.2191878174
351	0.2191321572
352	0.2188916237
353	0.2187583749
354	0.2185209664
355	0.2183895033
356	0.2182138799
357	0.2180127746
358	0.2178775794
359	0.217778116
360	0.2177161166
361	0.2175439396
362	0.2173725662
363	0.2171384254
364	0.2170111588
365	0.2168796242
366	0.216809357
367	0.2166868939
368	0.2165397166
369	0.2163836645
370	0.2161475238
371	0.2160011501
372	0.2157925985
373	0.2156661532
374	0.2155308509
375	0.2153209599
376	0.2151514258
377	0.2149681953
378	0.2147215904
379	0.2146215556
380	0.2144296466
381	0.2142871122
382	0.2141800061
383	0.2141173281
384	0.2139938292
385	0.2138200451
386	0.2135975114
387	0.2133963882
388	0.2133254603
389	0.2132006936
390	0.21304382
391	0.2129418745
392	0.2126495915
393	0.2125132713
394	0.2122050777
395	0.2119918118
396	0.2119286874
397	0.2118330811
398	0.21148312
399	0.2113326392
400	0.2111974262
401	0.2110662131
402	0.2109162145
403	0.2108692863
404	0.2106282528
405	0.2104475223
406	0.2103693802
407	0.210213953
408	0.2100272226
409	0.2098351529
410	0.2097469752
411	0.209686315
412	0.2095426735
413	0.2094794419
414	0.2092034801
415	0.2090750885
416	0.2089481968
417	0.2088202158
418	0.208702824
419	0.2085772002
420	0.2084318265
421	0.2082185427
422	0.2079406345
423	0.2078141178
424	0.2076759941
425	0.207583245
426	0.2075011743
427	0.2073273723
428	0.2071885164
429	0.2070285357
430	0.2069297866
431	0.206793145
432	0.2066508963
433	0.2064686123
434	0.2062724534
435	0.2061661508
436	0.2060456876
437	0.2058545465
438	0.2057086192
439	0.2055814597
440	0.2054478538
441	0.205361301
442	0.2052614805
443	0.2051070176
444	0.204968126
445	0.2048330915
446	0.2046017365
447	0.2043795421
448	0.2042125972
449	0.2040111348
450	0.2039616709
451	0.2036881913
452	0.2035359962
453	0.2034547113
454	0.2033274267
455	0.2031353392
456	0.2029712514
457	0.2028597167
458	0.2027306822
459	0.2024836844
460	0.2023418822
461	0.2021618659
462	0.2020542419
463	0.2019133325
464	0.2016979773
465	0.201532336
466	0.201301981
467	0.2010391262
468	0.2009208059
469	0.2007797893
470	0.2006003445
471	0.2004916669
472	0.2003546325
473	0.2002746689
474	0.200171527
475	0.2000429389
476	0.1998762797
477	0.1998330301
478	0.1994863547
479	0.1994073197
480	0.1991990538
481	0.19906093
482	0.1989440204
483	0.1988520212
484	0.1987062904
485	0.1985912557
486	0.1984781496
487	0.198387329
488	0.1982369197
489	0.1982042414
490	0.1980925817
491	0.1979134226
492	0.1977617276
493	0.1975943899
494	0.197411213
495	0.1973416779
