iter	Passed	Remaining
0	37	18818
1	74	18624
2	110	18302
3	145	18064
4	179	17765
5	211	17438
6	246	17331
7	279	17215
8	312	17075
9	347	17042
10	381	16939
11	416	16929
12	453	16991
13	491	17054
14	528	17082
15	565	17107
16	603	17136
17	638	17107
18	676	17123
19	712	17101
20	751	17148
21	789	17148
22	827	17155
23	866	17184
24	902	17147
25	940	17147
26	976	17106
27	1012	17075
28	1049	17044
29	1087	17043
30	1124	17017
31	1160	16977
32	1195	16918
33	1228	16842
34	1263	16788
35	1301	16777
36	1337	16739
37	1373	16700
38	1411	16689
39	1445	16623
40	1478	16555
41	1512	16497
42	1546	16434
43	1581	16386
44	1614	16324
45	1648	16267
46	1681	16210
47	1715	16153
48	1751	16124
49	1788	16100
50	1826	16081
51	1864	16064
52	1903	16051
53	1940	16030
54	1977	15999
55	2013	15962
56	2049	15927
57	2085	15890
58	2123	15868
59	2158	15832
60	2193	15787
61	2229	15750
62	2266	15721
63	2303	15689
64	2339	15659
65	2374	15611
66	2408	15564
67	2442	15517
68	2475	15464
69	2508	15409
70	2542	15363
71	2577	15323
72	2610	15272
73	2645	15229
74	2677	15172
75	2710	15121
76	2744	15076
77	2782	15053
78	2819	15024
79	2858	15004
80	2896	14982
81	2935	14964
82	2973	14939
83	3013	14924
84	3049	14890
85	3090	14876
86	3127	14844
87	3163	14809
88	3198	14771
89	3234	14736
90	3270	14698
91	3304	14655
92	3338	14610
93	3371	14562
94	3404	14512
95	3438	14469
96	3480	14460
97	3513	14412
98	3546	14365
99	3579	14318
100	3614	14277
101	3646	14230
102	3679	14183
103	3713	14140
104	3749	14104
105	3784	14068
106	3823	14044
107	3860	14012
108	3898	13985
109	3937	13958
110	3972	13920
111	4008	13887
112	4045	13854
113	4082	13822
114	4117	13786
115	4155	13754
116	4195	13732
117	4231	13698
118	4267	13661
119	4302	13625
120	4338	13589
121	4376	13558
122	4417	13538
123	4456	13512
124	4492	13478
125	4528	13443
126	4565	13408
127	4598	13365
128	4631	13319
129	4665	13279
130	4698	13235
131	4733	13196
132	4768	13158
133	4802	13116
134	4837	13078
135	4871	13039
136	4908	13005
137	4946	12974
138	4981	12938
139	5016	12899
140	5049	12856
141	5081	12811
142	5116	12772
143	5150	12732
144	5184	12692
145	5218	12652
146	5251	12611
147	5285	12569
148	5317	12527
149	5350	12483
